,STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total
31,ASSAM,2001,Service (Government),0,7,25,13,0,45,0,0,2,0,0,2,47
32,ASSAM,2001,Service (Private),0,46,49,32,4,131,0,13,12,3,0,28,159
33,ASSAM,2001,Public Sector Undertaking,0,39,28,17,0,84,0,0,2,0,0,2,86
34,ASSAM,2001,Student,29,86,6,0,0,121,9,55,6,0,0,70,191
35,ASSAM,2001,Unemployed,0,108,124,59,5,296,0,21,14,3,0,38,334
36,ASSAM,2001,Self-employed (Business activity),0,59,85,45,10,199,0,12,5,7,0,24,223
37,ASSAM,2001,Professional Activity,0,16,36,15,0,67,0,1,0,0,0,1,68
38,ASSAM,2001,Farming/Agriculture Activity,0,30,62,43,9,144,0,7,6,9,1,23,167
39,ASSAM,2001,Others (Please Specify),1,129,173,123,11,437,5,76,36,12,1,130,567
40,ASSAM,2001,Retired Person,0,0,0,2,4,6,0,0,0,0,0,0,6
41,ASSAM,2001,Others (Please Specify),5,100,114,69,18,306,5,40,30,17,7,99,405
42,ASSAM,2001,Total,35,620,702,418,61,1836,19,383,274,119,16,811,2647
43,ASSAM,2001,Total Salaried,0,92,102,62,4,260,0,13,16,3,0,32,292
44,ASSAM,2001,Total Self-employed,1,234,356,226,30,847,5,96,47,28,2,178,1025
45,BIHAR,2001,House Wife,0,0,0,0,0,0,0,62,62,13,3,140,140
46,BIHAR,2001,Service (Government),0,1,4,0,0,5,0,1,0,0,0,1,6
47,BIHAR,2001,Service (Private),0,11,3,0,1,15,0,3,0,0,0,3,18
48,BIHAR,2001,Public Sector Undertaking,0,0,1,0,0,1,0,0,0,0,0,0,1
49,BIHAR,2001,Student,3,34,2,0,0,39,6,17,2,0,0,25,64
50,BIHAR,2001,Unemployed,1,13,6,1,1,22,2,10,2,2,0,16,38
51,BIHAR,2001,Self-employed (Business activity),0,2,12,0,0,14,1,0,0,0,0,1,15
52,BIHAR,2001,Professional Activity,0,2,1,0,0,3,0,0,0,0,0,0,3
53,BIHAR,2001,Farming/Agriculture Activity,0,19,23,12,1,55,0,4,1,1,0,6,61
54,BIHAR,2001,Others (Please Specify),3,22,7,1,1,34,0,7,7,0,0,14,48
55,BIHAR,2001,Retired Person,0,0,0,0,2,2,0,0,0,0,0,0,2
56,BIHAR,2001,Others (Please Specify),1,27,62,17,10,117,5,49,20,11,5,90,207
57,BIHAR,2001,Total,8,131,121,31,16,307,14,153,94,27,8,296,603
58,BIHAR,2001,Total Salaried,0,12,8,0,1,21,0,4,0,0,0,4,25
59,BIHAR,2001,Total Self-employed,3,45,43,13,2,106,1,11,8,1,0,21,127
60,CHHATTISGARH,2001,House Wife,0,0,0,0,0,0,3,301,202,74,26,606,606
61,CHHATTISGARH,2001,Service (Government),0,11,36,15,1,63,0,4,2,1,0,7,70
62,CHHATTISGARH,2001,Service (Private),0,47,81,33,6,167,1,6,2,1,0,10,177
63,CHHATTISGARH,2001,Public Sector Undertaking,0,9,31,16,3,59,0,2,3,1,0,6,65
64,CHHATTISGARH,2001,Student,17,100,17,0,0,134,23,69,3,0,0,95,229
65,CHHATTISGARH,2001,Unemployed,0,100,69,17,7,193,0,19,6,0,0,25,218
66,CHHATTISGARH,2001,Self-employed (Business activity),1,21,30,9,5,66,0,2,0,0,0,2,68
67,CHHATTISGARH,2001,Professional Activity,0,12,14,4,2,32,0,2,2,0,0,4,36
68,CHHATTISGARH,2001,Farming/Agriculture Activity,8,286,429,302,173,1198,5,81,92,51,25,254,1452
69,CHHATTISGARH,2001,Others (Please Specify),10,133,142,106,53,444,6,74,61,45,26,212,656
70,CHHATTISGARH,2001,Retired Person,0,8,3,0,2,13,0,0,0,0,0,0,13
71,CHHATTISGARH,2001,Others (Please Specify),8,65,103,61,34,271,11,74,45,20,14,164,435
72,CHHATTISGARH,2001,Total,44,792,955,563,286,2640,49,634,418,193,91,1385,4025
73,CHHATTISGARH,2001,Total Salaried,0,67,148,64,10,289,1,12,7,3,0,23,312
74,CHHATTISGARH,2001,Total Self-employed,19,452,615,421,233,1740,11,159,155,96,51,472,2212
75,GOA,2001,House Wife,0,0,0,0,0,0,0,11,24,6,14,55,55
76,GOA,2001,Service (Government),0,0,2,2,0,4,0,0,1,0,1,2,6
77,GOA,2001,Service (Private),0,11,29,6,0,46,0,5,1,0,0,6,52
78,GOA,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
79,GOA,2001,Student,0,4,0,0,0,4,3,6,0,0,0,9,13
80,GOA,2001,Unemployed,0,17,21,3,3,44,0,6,4,0,0,10,54
81,GOA,2001,Self-employed (Business activity),0,1,2,6,1,10,0,0,0,0,0,0,10
82,GOA,2001,Professional Activity,0,0,2,0,0,2,0,0,0,0,0,0,2
83,GOA,2001,Farming/Agriculture Activity,0,1,4,9,4,18,0,0,0,0,0,0,18
84,GOA,2001,Others (Please Specify),0,4,5,2,0,11,0,2,0,0,2,4,15
85,GOA,2001,Retired Person,0,0,0,0,3,3,0,0,0,0,0,0,3
86,GOA,2001,Others (Please Specify),0,5,8,7,5,25,0,0,2,0,1,3,28
87,GOA,2001,Total,0,43,73,35,16,167,3,30,32,6,18,89,256
88,GOA,2001,Total Salaried,0,11,31,8,0,50,0,5,2,0,1,8,58
89,GOA,2001,Total Self-employed,0,6,13,17,5,41,0,2,0,0,2,4,45
90,GUJARAT,2001,House Wife,0,0,0,0,0,0,15,736,534,199,84,1568,1568
91,GUJARAT,2001,Service (Government),0,12,26,24,0,62,0,3,5,0,0,8,70
92,GUJARAT,2001,Service (Private),0,145,169,45,6,365,0,18,14,7,0,39,404
93,GUJARAT,2001,Public Sector Undertaking,0,22,47,21,2,92,0,8,4,3,0,15,107
94,GUJARAT,2001,Student,19,109,6,0,0,134,28,101,1,0,0,130,264
95,GUJARAT,2001,Unemployed,5,210,137,66,8,426,6,27,28,10,0,71,497
96,GUJARAT,2001,Self-employed (Business activity),6,67,116,58,8,255,0,0,1,0,0,1,256
97,GUJARAT,2001,Professional Activity,0,98,127,86,14,325,0,18,5,2,2,27,352
98,GUJARAT,2001,Farming/Agriculture Activity,1,188,213,84,31,517,2,34,30,7,4,77,594
99,GUJARAT,2001,Others (Please Specify),4,114,144,46,14,322,4,57,22,13,10,106,428
100,GUJARAT,2001,Retired Person,0,0,0,13,43,56,0,0,0,5,38,43,99
101,GUJARAT,2001,Others (Please Specify),5,37,34,9,10,95,3,28,13,11,2,57,152
102,GUJARAT,2001,Total,40,1002,1019,452,136,2649,58,1030,657,257,140,2142,4791
103,GUJARAT,2001,Total Salaried,0,179,242,90,8,519,0,29,23,10,0,62,581
104,GUJARAT,2001,Total Self-employed,11,467,600,274,67,1419,6,109,58,22,16,211,1630
105,HARYANA,2001,House Wife,0,0,0,0,0,0,0,167,104,15,11,297,297
106,HARYANA,2001,Service (Government),0,25,32,16,0,73,0,0,13,8,0,21,94
107,HARYANA,2001,Service (Private),0,40,45,13,0,98,0,24,15,6,2,47,145
108,HARYANA,2001,Public Sector Undertaking,0,33,29,4,0,66,0,14,13,1,0,28,94
109,HARYANA,2001,Student,15,64,8,0,0,87,7,29,2,3,0,41,128
110,HARYANA,2001,Unemployed,13,117,52,42,3,227,7,26,18,9,0,60,287
111,HARYANA,2001,Self-employed (Business activity),0,28,16,12,1,57,0,0,0,0,0,0,57
112,HARYANA,2001,Professional Activity,0,17,33,12,2,64,0,0,1,0,0,1,65
113,HARYANA,2001,Farming/Agriculture Activity,0,50,43,27,13,133,0,6,3,3,0,12,145
114,HARYANA,2001,Others (Please Specify),0,27,51,14,11,103,0,4,17,3,4,28,131
115,HARYANA,2001,Retired Person,0,0,0,1,17,18,0,0,0,0,4,4,22
116,HARYANA,2001,Others (Please Specify),6,118,190,95,29,438,6,52,34,8,4,104,542
117,HARYANA,2001,Total,34,519,499,236,76,1364,20,322,220,56,25,643,2007
118,HARYANA,2001,Total Salaried,0,98,106,33,0,237,0,38,41,15,2,96,333
119,HARYANA,2001,Total Self-employed,0,122,143,65,27,357,0,10,21,6,4,41,398
120,HIMACHAL PRADESH,2001,House Wife,0,0,0,0,0,0,0,44,26,12,2,84,84
121,HIMACHAL PRADESH,2001,Service (Government),0,0,5,3,0,8,0,2,1,0,0,3,11
122,HIMACHAL PRADESH,2001,Service (Private),0,6,9,8,1,24,0,0,0,0,0,0,24
123,HIMACHAL PRADESH,2001,Public Sector Undertaking,0,0,3,4,0,7,0,0,0,0,0,0,7
124,HIMACHAL PRADESH,2001,Student,0,8,0,0,0,8,2,9,0,0,0,11,19
125,HIMACHAL PRADESH,2001,Unemployed,0,18,9,4,0,31,0,6,1,0,0,7,38
126,HIMACHAL PRADESH,2001,Self-employed (Business activity),0,4,5,0,0,9,0,0,0,0,0,0,9
127,HIMACHAL PRADESH,2001,Professional Activity,0,0,2,0,0,2,0,0,1,0,0,1,3
128,HIMACHAL PRADESH,2001,Farming/Agriculture Activity,0,3,9,8,2,22,0,0,0,0,0,0,22
129,HIMACHAL PRADESH,2001,Others (Please Specify),0,1,6,5,1,13,0,0,6,0,0,6,19
130,HIMACHAL PRADESH,2001,Retired Person,0,0,0,1,0,1,0,0,0,0,0,0,1
131,HIMACHAL PRADESH,2001,Others (Please Specify),1,14,16,16,5,52,1,9,3,2,3,18,70
132,HIMACHAL PRADESH,2001,Total,1,54,64,49,9,177,3,70,38,14,5,130,307
133,HIMACHAL PRADESH,2001,Total Salaried,0,6,17,15,1,39,0,2,1,0,0,3,42
134,HIMACHAL PRADESH,2001,Total Self-employed,0,8,22,13,3,46,0,0,7,0,0,7,53
135,JAMMU & KASHMIR,2001,House Wife,0,0,0,0,0,0,0,18,13,4,1,36,36
136,JAMMU & KASHMIR,2001,Service (Government),0,1,7,1,0,9,0,0,0,0,0,0,9
137,JAMMU & KASHMIR,2001,Service (Private),0,0,2,0,0,2,0,0,0,0,0,0,2
138,JAMMU & KASHMIR,2001,Public Sector Undertaking,0,0,1,0,0,1,0,0,0,0,0,0,1
139,JAMMU & KASHMIR,2001,Student,0,5,0,0,0,5,0,1,0,0,0,1,6
140,JAMMU & KASHMIR,2001,Unemployed,0,3,4,4,1,12,0,3,0,0,0,3,15
141,JAMMU & KASHMIR,2001,Self-employed (Business activity),0,1,1,0,0,2,0,0,0,0,0,0,2
142,JAMMU & KASHMIR,2001,Professional Activity,2,0,0,0,0,2,0,0,0,0,0,0,2
143,JAMMU & KASHMIR,2001,Farming/Agriculture Activity,0,5,4,3,0,12,1,0,1,1,0,3,15
144,JAMMU & KASHMIR,2001,Others (Please Specify),0,3,4,1,0,8,0,4,0,0,0,4,12
145,JAMMU & KASHMIR,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
146,JAMMU & KASHMIR,2001,Others (Please Specify),0,11,8,9,10,38,1,5,7,0,2,15,53
147,JAMMU & KASHMIR,2001,Total,2,29,31,18,11,91,2,31,21,5,3,62,153
148,JAMMU & KASHMIR,2001,Total Salaried,0,1,10,1,0,12,0,0,0,0,0,0,12
149,JAMMU & KASHMIR,2001,Total Self-employed,2,9,9,4,0,24,1,4,1,1,0,7,31
150,JHARKHAND,2001,House Wife,0,0,0,0,0,0,1,29,21,8,0,59,59
151,JHARKHAND,2001,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0
152,JHARKHAND,2001,Service (Private),0,0,3,1,0,4,0,0,2,0,0,2,6
153,JHARKHAND,2001,Public Sector Undertaking,0,0,3,0,0,3,0,0,2,0,0,2,5
154,JHARKHAND,2001,Student,3,3,0,0,0,6,0,1,0,0,0,1,7
155,JHARKHAND,2001,Unemployed,0,9,7,1,1,18,0,1,0,0,0,1,19
156,JHARKHAND,2001,Self-employed (Business activity),0,0,1,0,0,1,0,0,0,0,0,0,1
157,JHARKHAND,2001,Professional Activity,0,3,2,1,0,6,0,0,0,0,0,0,6
158,JHARKHAND,2001,Farming/Agriculture Activity,0,5,17,5,0,27,0,0,0,0,0,0,27
159,JHARKHAND,2001,Others (Please Specify),0,18,11,7,0,36,1,12,0,2,0,15,51
160,JHARKHAND,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
161,JHARKHAND,2001,Others (Please Specify),1,7,12,11,9,40,3,7,6,13,0,29,69
162,JHARKHAND,2001,Total,4,45,56,26,10,141,5,50,31,23,0,109,250
163,JHARKHAND,2001,Total Salaried,0,0,6,1,0,7,0,0,4,0,0,4,11
164,JHARKHAND,2001,Total Self-employed,0,26,31,13,0,70,1,12,0,2,0,15,85
165,KARNATAKA,2001,House Wife,0,0,0,0,0,0,10,1008,707,334,138,2197,2197
166,KARNATAKA,2001,Service (Government),0,35,108,67,1,211,0,23,24,12,0,59,270
167,KARNATAKA,2001,Service (Private),3,241,352,190,79,865,6,111,40,31,12,200,1065
168,KARNATAKA,2001,Public Sector Undertaking,0,66,95,60,7,228,0,15,0,0,0,15,243
169,KARNATAKA,2001,Student,72,230,26,1,0,329,60,120,1,2,0,183,512
170,KARNATAKA,2001,Unemployed,6,225,207,103,17,558,5,48,23,5,4,85,643
171,KARNATAKA,2001,Self-employed (Business activity),5,195,221,133,37,591,2,22,7,3,0,34,625
172,KARNATAKA,2001,Professional Activity,1,69,71,41,13,195,1,6,1,0,0,8,203
173,KARNATAKA,2001,Farming/Agriculture Activity,25,551,811,579,187,2153,17,138,117,68,12,352,2505
174,KARNATAKA,2001,Others (Please Specify),48,441,708,484,266,1947,36,201,130,91,59,517,2464
175,KARNATAKA,2001,Retired Person,0,16,18,16,46,96,0,5,14,11,9,39,135
176,KARNATAKA,2001,Others (Please Specify),20,173,263,162,80,698,47,120,54,69,31,321,1019
177,KARNATAKA,2001,Total,180,2242,2880,1836,733,7871,184,1817,1118,626,265,4010,11881
178,KARNATAKA,2001,Total Salaried,3,342,555,317,87,1304,6,149,64,43,12,274,1578
179,KARNATAKA,2001,Total Self-employed,79,1256,1811,1237,503,4886,56,367,255,162,71,911,5797
180,KERALA,2001,House Wife,0,0,0,0,0,0,0,290,475,394,247,1406,1406
181,KERALA,2001,Service (Government),0,10,53,111,2,176,0,7,15,9,0,31,207
182,KERALA,2001,Service (Private),0,73,145,139,92,449,0,25,33,24,35,117,566
183,KERALA,2001,Public Sector Undertaking,0,35,48,63,37,183,0,3,12,10,2,27,210
184,KERALA,2001,Student,37,90,1,0,0,128,33,119,1,0,0,153,281
185,KERALA,2001,Unemployed,0,312,550,560,334,1756,3,155,74,41,66,339,2095
186,KERALA,2001,Self-employed (Business activity),0,56,187,177,55,475,0,7,5,9,1,22,497
187,KERALA,2001,Professional Activity,0,30,77,74,21,202,0,2,9,8,2,21,223
188,KERALA,2001,Farming/Agriculture Activity,0,93,325,362,194,974,0,18,17,12,14,61,1035
189,KERALA,2001,Others (Please Specify),6,270,456,504,299,1535,3,80,64,83,62,292,1827
190,KERALA,2001,Retired Person,0,1,2,29,67,99,0,0,2,7,11,20,119
191,KERALA,2001,Others (Please Specify),0,139,263,221,187,810,9,88,91,69,39,296,1106
192,KERALA,2001,Total,43,1109,2107,2240,1288,6787,48,794,798,666,479,2785,9572
193,KERALA,2001,Total Salaried,0,118,246,313,131,808,0,35,60,43,37,175,983
194,KERALA,2001,Total Self-employed,6,449,1045,1117,569,3186,3,107,95,112,79,396,3582
195,MADHYA PRADESH,2001,House Wife,0,0,0,0,0,0,14,1346,553,201,87,2201,2201
196,MADHYA PRADESH,2001,Service (Government),0,59,54,40,1,154,0,13,12,3,0,28,182
197,MADHYA PRADESH,2001,Service (Private),0,142,108,40,4,294,0,48,10,5,0,63,357
198,MADHYA PRADESH,2001,Public Sector Undertaking,0,43,10,9,0,62,0,36,6,2,0,44,106
199,MADHYA PRADESH,2001,Student,50,147,11,3,0,211,32,62,0,0,0,94,305
200,MADHYA PRADESH,2001,Unemployed,2,91,63,23,18,197,2,11,0,0,0,13,210
201,MADHYA PRADESH,2001,Self-employed (Business activity),0,71,83,40,23,217,0,28,21,11,11,71,288
202,MADHYA PRADESH,2001,Professional Activity,0,30,64,20,12,126,0,4,8,7,3,22,148
203,MADHYA PRADESH,2001,Farming/Agriculture Activity,5,397,384,198,94,1078,5,142,95,31,21,294,1372
204,MADHYA PRADESH,2001,Others (Please Specify),40,230,194,148,85,697,43,105,59,30,14,251,948
205,MADHYA PRADESH,2001,Retired Person,0,0,0,0,13,13,0,0,0,0,1,1,14
206,MADHYA PRADESH,2001,Others (Please Specify),33,207,158,49,40,487,19,123,48,28,24,242,729
207,MADHYA PRADESH,2001,Total,130,1417,1129,570,290,3536,115,1918,812,318,161,3324,6860
208,MADHYA PRADESH,2001,Total Salaried,0,244,172,89,5,510,0,97,28,10,0,135,645
209,MADHYA PRADESH,2001,Total Self-employed,45,728,725,406,214,2118,48,279,183,79,49,638,2756
210,MAHARASHTRA,2001,House Wife,0,0,0,0,0,0,9,1663,1078,394,207,3351,3351
211,MAHARASHTRA,2001,Service (Government),0,51,111,57,3,222,0,19,15,3,0,37,259
212,MAHARASHTRA,2001,Service (Private),0,346,561,337,40,1284,0,74,48,21,2,145,1429
213,MAHARASHTRA,2001,Public Sector Undertaking,0,33,40,38,2,113,0,7,3,1,0,11,124
214,MAHARASHTRA,2001,Student,81,337,15,0,0,433,78,273,5,0,0,356,789
215,MAHARASHTRA,2001,Unemployed,0,386,357,162,51,956,0,60,19,17,5,101,1057
216,MAHARASHTRA,2001,Self-employed (Business activity),0,118,157,108,18,401,0,10,16,11,0,37,438
217,MAHARASHTRA,2001,Professional Activity,0,62,106,54,22,244,0,6,5,9,4,24,268
218,MAHARASHTRA,2001,Farming/Agriculture Activity,11,789,1263,643,239,2945,13,278,205,72,23,591,3536
219,MAHARASHTRA,2001,Others (Please Specify),33,640,984,471,277,2405,27,228,201,81,42,579,2984
220,MAHARASHTRA,2001,Retired Person,0,0,6,39,125,170,0,0,0,5,7,12,182
221,MAHARASHTRA,2001,Others (Please Specify),3,43,70,29,20,165,6,15,12,3,0,36,201
222,MAHARASHTRA,2001,Total,128,2805,3670,1938,797,9338,133,2633,1607,617,290,5280,14618
223,MAHARASHTRA,2001,Total Salaried,0,430,712,432,45,1619,0,100,66,25,2,193,1812
224,MAHARASHTRA,2001,Total Self-employed,44,1609,2510,1276,556,5995,40,522,427,173,69,1231,7226
225,MANIPUR,2001,House Wife,0,0,0,0,0,0,0,3,5,1,0,9,9
226,MANIPUR,2001,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0
227,MANIPUR,2001,Service (Private),0,0,0,0,0,0,0,0,0,0,0,0,0
228,MANIPUR,2001,Public Sector Undertaking,0,3,0,0,0,3,0,0,0,0,0,0,3
229,MANIPUR,2001,Student,1,5,0,0,0,6,0,1,0,0,0,1,7
230,MANIPUR,2001,Unemployed,0,0,0,2,0,2,0,0,0,0,0,0,2
231,MANIPUR,2001,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
232,MANIPUR,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
233,MANIPUR,2001,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
234,MANIPUR,2001,Others (Please Specify),0,0,4,3,1,8,0,3,0,0,0,3,11
235,MANIPUR,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
236,MANIPUR,2001,Others (Please Specify),0,4,1,0,0,5,0,4,0,0,0,4,9
237,MANIPUR,2001,Total,1,12,5,5,1,24,0,11,5,1,0,17,41
238,MANIPUR,2001,Total Salaried,0,3,0,0,0,3,0,0,0,0,0,0,3
239,MANIPUR,2001,Total Self-employed,0,0,4,3,1,8,0,3,0,0,0,3,11
240,MEGHALAYA,2001,House Wife,0,0,0,0,0,0,0,3,1,0,0,4,4
241,MEGHALAYA,2001,Service (Government),0,1,6,0,1,8,0,1,1,0,0,2,10
242,MEGHALAYA,2001,Service (Private),0,0,2,0,0,2,0,0,0,0,0,0,2
243,MEGHALAYA,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
244,MEGHALAYA,2001,Student,1,4,2,0,0,7,0,0,0,0,0,0,7
245,MEGHALAYA,2001,Unemployed,0,7,3,0,2,12,0,2,0,0,0,2,14
246,MEGHALAYA,2001,Self-employed (Business activity),0,2,2,0,0,4,0,0,0,0,0,0,4
247,MEGHALAYA,2001,Professional Activity,0,0,1,1,0,2,0,0,0,0,0,0,2
248,MEGHALAYA,2001,Farming/Agriculture Activity,0,0,2,0,0,2,0,2,0,0,0,2,4
249,MEGHALAYA,2001,Others (Please Specify),0,8,14,4,0,26,0,3,0,3,1,7,33
250,MEGHALAYA,2001,Retired Person,0,0,2,0,1,3,0,0,0,0,1,1,4
251,MEGHALAYA,2001,Others (Please Specify),0,0,2,0,1,3,0,0,0,0,0,0,3
252,MEGHALAYA,2001,Total,1,22,36,5,5,69,0,11,2,3,2,18,87
253,MEGHALAYA,2001,Total Salaried,0,1,8,0,1,10,0,1,1,0,0,2,12
254,MEGHALAYA,2001,Total Self-employed,0,10,19,5,0,34,0,5,0,3,1,9,43
255,MIZORAM,2001,House Wife,0,0,0,0,0,0,0,0,0,0,0,0,0
256,MIZORAM,2001,Service (Government),0,2,1,0,0,3,0,0,0,0,0,0,3
257,MIZORAM,2001,Service (Private),0,2,0,0,0,2,0,0,0,0,0,0,2
258,MIZORAM,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
259,MIZORAM,2001,Student,1,11,0,0,0,12,0,1,0,0,0,1,13
260,MIZORAM,2001,Unemployed,2,2,4,1,0,9,0,2,1,2,0,5,14
261,MIZORAM,2001,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0
262,MIZORAM,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
263,MIZORAM,2001,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
264,MIZORAM,2001,Others (Please Specify),0,5,0,4,1,10,0,0,1,0,1,2,12
265,MIZORAM,2001,Retired Person,0,0,0,0,1,1,0,0,0,0,0,0,1
266,MIZORAM,2001,Others (Please Specify),4,0,5,0,0,9,0,0,0,0,0,0,9
267,MIZORAM,2001,Total,7,22,10,5,2,46,0,3,2,2,1,8,54
268,MIZORAM,2001,Total Salaried,0,4,1,0,0,5,0,0,0,0,0,0,5
269,MIZORAM,2001,Total Self-employed,0,5,0,4,1,10,0,0,1,0,1,2,12
270,NAGALAND,2001,House Wife,0,0,0,0,0,0,0,2,4,0,0,6,6
271,NAGALAND,2001,Service (Government),0,1,3,1,0,5,0,0,1,0,0,1,6
272,NAGALAND,2001,Service (Private),0,1,3,0,0,4,0,1,0,0,0,1,5
273,NAGALAND,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0
274,NAGALAND,2001,Student,0,0,0,0,0,0,0,0,0,1,0,1,1
275,NAGALAND,2001,Unemployed,0,5,7,1,0,13,0,4,0,2,0,6,19
276,NAGALAND,2001,Self-employed (Business activity),0,0,2,0,0,2,0,0,0,0,0,0,2
277,NAGALAND,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
278,NAGALAND,2001,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0
279,NAGALAND,2001,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0
280,NAGALAND,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0
281,NAGALAND,2001,Others (Please Specify),0,1,0,0,0,1,0,0,0,0,0,0,1
282,NAGALAND,2001,Total,0,8,15,2,0,25,0,7,5,3,0,15,40
283,NAGALAND,2001,Total Salaried,0,2,6,1,0,9,0,1,1,0,0,2,11
284,NAGALAND,2001,Total Self-employed,0,0,2,0,0,2,0,0,0,0,0,0,2
285,ODISHA,2001,House Wife,0,0,0,0,0,0,2,347,330,135,26,840,840
286,ODISHA,2001,Service (Government),0,23,25,8,0,56,0,13,6,1,0,20,76
287,ODISHA,2001,Service (Private),0,58,52,32,8,150,0,49,27,7,0,83,233
288,ODISHA,2001,Public Sector Undertaking,0,16,20,5,0,41,0,13,17,2,2,34,75
289,ODISHA,2001,Student,24,111,9,0,0,144,27,94,0,1,2,124,268
