States/UTs,Year,CrimeHead,Male_below 14 years,Male_14 and above – below 18 years,Male_18 and above – below 30 years,Male_30 and above – below 45 years,Male_45 and above – below 60 years,Male_60 years & above,Male_Total,Female_below 14 years,Female_14 and above – below 18 years,Female_18 and above – below 30 years,Female_30 and above – below 45 years,Female_45 and above – below 60 years,Female_60 years & above,Female_Total,Transgender_below 14 years,Transgender_14 and above – below 18 years,Transgender_18 and above – below 30 years,Transgender_30 and above – below 45 years,Transgender_45 and above – below 60 years,Transgender_60 years & above,Transgender_Total,Grand Total
Assam,2014,Others,0,18,130,158,88,5,399,0,4,21,7,1,0,33,0,0,0,0,0,0,0,432
Assam,2014,Agriculture (Total),0,1,15,19,15,0,50,0,0,4,5,0,0,9,0,0,0,0,0,0,0,59
Assam,2014,Agricultural Labourers,0,1,11,9,8,0,29,0,0,4,5,0,0,9,0,0,0,0,0,0,0,38
Assam,2014,Farmers (Sub Total),0,0,4,10,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Assam,2014,Have Own Land,0,0,4,10,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Assam,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,2014,Others,0,17,64,89,42,2,214,0,7,9,2,0,0,18,0,0,0,0,0,0,0,232
Assam,2014,Daily Wage Earner,0,0,18,27,24,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
Assam,2014,Retired Persons,0,0,0,0,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Assam,2014,Others,5,84,276,365,225,47,1002,3,51,109,54,26,7,250,0,0,0,0,0,0,0,1252
Assam,2014,Total,7,238,781,915,510,59,2510,4,159,436,313,114,10,1036,0,0,0,0,0,0,0,3546
Bihar,2014,Housewife,0,0,0,0,0,0,0,0,0,58,36,7,0,101,0,0,0,0,0,0,0,101
Bihar,2014,Profession/Salaried Persons (Total),0,0,21,9,5,0,35,0,2,13,3,1,2,21,0,0,0,0,0,0,0,56
Bihar,2014,Govt. Servants (Total),0,0,4,1,3,0,8,0,2,2,0,1,0,5,0,0,0,0,0,0,0,13
Bihar,2014,Central/UT Govt. Servants,0,0,1,1,2,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5
Bihar,2014,State Govt. Servants,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Bihar,2014,Other Statutory Body/etc.,0,0,3,0,0,0,3,0,2,1,0,0,0,3,0,0,0,0,0,0,0,6
Bihar,2014,Private Sector Enterprises,0,0,12,6,2,0,20,0,0,11,3,0,2,16,0,0,0,0,0,0,0,36
Bihar,2014,Public Sector Undertaking,0,0,5,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Bihar,2014,Students,9,16,10,5,0,0,40,3,13,23,0,0,0,39,0,0,0,0,0,0,0,79
Bihar,2014,Unemployed Persons,0,2,23,22,4,2,53,0,0,6,3,0,0,9,0,0,0,0,0,0,0,62
Bihar,2014,Self-employed Persons (Total),0,2,20,46,9,0,77,0,1,6,2,0,0,9,0,0,0,0,0,0,0,86
Bihar,2014,Business (Total),0,2,14,43,6,0,65,0,1,6,2,0,0,9,0,0,0,0,0,0,0,74
Bihar,2014,Vendor,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Bihar,2014,Tradesmen,0,0,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Bihar,2014,Others,0,2,10,39,5,0,56,0,1,6,2,0,0,9,0,0,0,0,0,0,0,65
Bihar,2014,Agriculture (Total),0,0,5,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Bihar,2014,Agricultural Labourers,0,0,5,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Bihar,2014,Farmers (Sub Total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Have Own Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,2014,Others,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bihar,2014,Daily Wage Earner,0,0,2,6,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Bihar,2014,Retired Persons,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bihar,2014,Others,2,19,46,46,40,52,205,1,11,32,57,17,0,118,0,0,0,0,0,0,0,323
Bihar,2014,Total,11,39,122,134,62,54,422,4,27,138,101,25,2,297,0,0,0,0,0,0,0,719
Chhattisgarh,2014,Housewife,0,0,0,0,0,0,0,0,28,446,320,140,48,982,0,0,0,0,0,0,0,982
Chhattisgarh,2014,Profession/Salaried Persons (Total),1,2,77,95,73,8,256,0,0,13,11,0,0,24,0,0,0,0,0,0,0,280
Chhattisgarh,2014,Govt. Servants (Total),1,1,32,33,31,6,104,0,0,4,4,0,0,8,0,0,0,0,0,0,0,112
Chhattisgarh,2014,Central/UT Govt. Servants,0,0,7,5,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Chhattisgarh,2014,State Govt. Servants,0,0,20,21,20,4,65,0,0,4,4,0,0,8,0,0,0,0,0,0,0,73
Chhattisgarh,2014,Other Statutory Body/etc.,1,1,5,7,4,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Chhattisgarh,2014,Private Sector Enterprises,0,1,42,52,34,2,131,0,0,9,7,0,0,16,0,0,0,0,0,0,0,147
Chhattisgarh,2014,Public Sector Undertaking,0,0,3,10,8,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Chhattisgarh,2014,Students,35,79,101,6,1,0,222,25,86,82,0,0,1,194,0,0,0,0,0,0,0,416
Chhattisgarh,2014,Unemployed Persons,0,18,171,93,21,3,306,0,4,10,1,1,1,17,0,0,0,0,0,0,0,323
Chhattisgarh,2014,Self-employed Persons (Total),3,30,343,420,323,64,1183,2,14,78,58,20,13,185,0,0,0,0,0,0,0,1368
Chhattisgarh,2014,Business (Total),2,11,101,113,73,16,316,0,4,17,10,1,1,33,0,0,0,0,0,0,0,349
Chhattisgarh,2014,Vendor,0,0,8,28,14,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
Chhattisgarh,2014,Tradesmen,0,0,2,8,18,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Chhattisgarh,2014,Others,2,11,91,77,41,16,238,0,4,17,10,1,1,33,0,0,0,0,0,0,0,271
Chhattisgarh,2014,Agriculture (Total),1,16,169,230,195,37,648,0,6,46,35,12,8,107,0,0,0,0,0,0,0,755
Chhattisgarh,2014,Agricultural Labourers,1,16,78,73,77,12,257,0,5,19,22,8,1,55,0,0,0,0,0,0,0,312
Chhattisgarh,2014,Farmers (Sub Total),0,0,91,157,118,25,391,0,1,27,13,4,7,52,0,0,0,0,0,0,0,443
Chhattisgarh,2014,Have Own Land,0,0,84,133,104,25,346,0,1,27,13,4,7,52,0,0,0,0,0,0,0,398
Chhattisgarh,2014,On Contract/Lease,0,0,7,24,14,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
Chhattisgarh,2014,Others,0,3,73,77,55,11,219,2,4,15,13,7,4,45,0,0,0,0,0,0,0,264
Chhattisgarh,2014,Daily Wage Earner,0,1,183,229,110,23,546,0,9,37,32,15,2,95,0,0,0,0,0,0,0,641
Chhattisgarh,2014,Retired Persons,0,0,0,0,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Chhattisgarh,2014,Others,16,84,382,379,236,145,1242,16,75,157,58,69,48,423,0,0,0,0,0,0,0,1665
Chhattisgarh,2014,Total,55,214,1257,1222,766,249,3763,43,216,823,480,245,113,1920,0,0,0,0,0,0,0,5683
Goa,2014,Housewife,0,0,0,0,0,0,0,0,0,13,16,9,8,46,0,0,0,0,0,0,0,46
Goa,2014,Profession/Salaried Persons (Total),0,0,20,9,7,2,38,0,1,7,2,1,0,11,0,0,0,0,0,0,0,49
Goa,2014,Govt. Servants (Total),0,0,3,2,2,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8
Goa,2014,Central/UT Govt. Servants,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Goa,2014,State Govt. Servants,0,0,1,1,2,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
Goa,2014,Other Statutory Body/etc.,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Goa,2014,Private Sector Enterprises,0,0,17,5,4,2,28,0,1,7,1,1,0,10,0,0,0,0,0,0,0,38
Goa,2014,Public Sector Undertaking,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Goa,2014,Students,1,2,4,0,0,0,7,2,5,1,0,0,0,8,0,0,0,0,0,0,0,15
Goa,2014,Unemployed Persons,0,0,15,13,15,8,51,0,0,3,1,1,3,8,0,0,0,0,0,0,0,59
Goa,2014,Self-employed Persons (Total),0,0,5,7,1,0,13,0,0,1,3,1,0,5,0,0,0,0,0,0,0,18
Goa,2014,Business (Total),0,0,5,7,1,0,13,0,0,1,3,1,0,5,0,0,0,0,0,0,0,18
Goa,2014,Vendor,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,3
Goa,2014,Tradesmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Others,0,0,5,7,1,0,13,0,0,0,1,1,0,2,0,0,0,0,0,0,0,15
Goa,2014,Agriculture (Total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Agricultural Labourers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Farmers (Sub Total),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Have Own Land,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,On Contract/Lease,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Others,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,2014,Daily Wage Earner,0,0,11,11,5,0,27,0,0,2,0,1,0,3,0,0,0,0,0,0,0,30
Goa,2014,Retired Persons,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Goa,2014,Others,0,0,7,28,24,5,64,0,0,6,1,0,0,7,0,0,0,0,0,0,0,71
Goa,2014,Total,1,2,62,68,52,18,203,2,6,33,23,13,11,88,0,0,0,0,0,0,0,291
Gujarat,2014,Housewife,0,0,0,0,0,0,0,2,54,755,605,264,89,1769,0,0,0,0,0,0,0,1769
Gujarat,2014,Profession/Salaried Persons (Total),0,1,176,258,115,4,554,0,0,18,16,2,0,36,0,0,0,0,0,0,0,590
Gujarat,2014,Govt. Servants (Total),0,0,23,45,28,0,96,0,0,6,6,0,0,12,0,0,0,0,0,0,0,108
Gujarat,2014,Central/UT Govt. Servants,0,0,6,13,11,0,30,0,0,0,3,0,0,3,0,0,0,0,0,0,0,33
Gujarat,2014,State Govt. Servants,0,0,4,17,11,0,32,0,0,4,3,0,0,7,0,0,0,0,0,0,0,39
Gujarat,2014,Other Statutory Body/etc.,0,0,13,15,6,0,34,0,0,2,0,0,0,2,0,0,0,0,0,0,0,36
Gujarat,2014,Private Sector Enterprises,0,1,141,198,78,4,422,0,0,9,9,1,0,19,0,0,0,0,0,0,0,441
Gujarat,2014,Public Sector Undertaking,0,0,12,15,9,0,36,0,0,3,1,1,0,5,0,0,0,0,0,0,0,41
Gujarat,2014,Students,8,70,97,8,0,0,183,15,109,56,4,0,0,184,0,0,0,0,0,0,0,367
Gujarat,2014,Unemployed Persons,0,18,170,170,82,10,450,0,0,7,1,1,2,11,0,0,0,0,0,0,0,461
Gujarat,2014,Self-employed Persons (Total),1,14,347,436,240,54,1092,1,14,52,29,13,10,119,0,0,0,0,0,0,0,1211
Gujarat,2014,Business (Total),1,5,144,176,102,8,436,0,2,13,4,2,1,22,0,0,0,0,0,0,0,458
Gujarat,2014,Vendor,0,0,8,6,10,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Gujarat,2014,Tradesmen,0,1,47,67,49,0,164,0,0,2,0,0,0,2,0,0,0,0,0,0,0,166
Gujarat,2014,Others,1,4,89,103,43,8,248,0,2,11,4,2,1,20,0,0,0,0,0,0,0,268
Gujarat,2014,Agriculture (Total),0,6,168,199,104,36,513,1,10,34,23,10,9,87,0,0,0,0,0,0,0,600
Gujarat,2014,Agricultural Labourers,0,6,161,184,96,35,482,1,9,30,17,8,8,73,0,0,0,0,0,0,0,555
Gujarat,2014,Farmers (Sub Total),0,0,7,15,8,1,31,0,1,4,6,2,1,14,0,0,0,0,0,0,0,45
Gujarat,2014,Have Own Land,0,0,7,12,3,1,23,0,0,1,5,1,1,8,0,0,0,0,0,0,0,31
Gujarat,2014,On Contract/Lease,0,0,0,3,5,0,8,0,1,3,1,1,0,6,0,0,0,0,0,0,0,14
Gujarat,2014,Others,0,3,35,61,34,10,143,0,2,5,2,1,0,10,0,0,0,0,0,0,0,153
Gujarat,2014,Daily Wage Earner,0,6,214,256,108,13,597,0,1,39,22,5,5,72,0,0,0,0,0,0,0,669
Gujarat,2014,Retired Persons,0,0,2,7,32,70,111,0,0,0,0,1,30,31,0,0,0,0,0,0,0,142
Gujarat,2014,Others,19,88,566,572,252,119,1616,8,71,158,88,51,24,400,0,0,0,0,0,0,0,2016
Gujarat,2014,Total,28,197,1572,1707,829,270,4603,26,249,1085,765,337,160,2622,0,0,0,0,0,0,0,7225
Haryana,2014,Housewife,0,0,0,0,0,0,0,1,4,165,88,32,15,305,0,0,0,0,0,0,0,305
Haryana,2014,Profession/Salaried Persons (Total),0,0,51,91,51,9,202,0,0,16,19,3,0,38,0,0,0,0,0,0,0,240
Haryana,2014,Govt. Servants (Total),0,0,10,23,16,4,53,0,0,4,3,1,0,8,0,0,0,0,0,0,0,61
Haryana,2014,Central/UT Govt. Servants,0,0,3,5,2,0,10,0,0,2,0,0,0,2,0,0,0,0,0,0,0,12
Haryana,2014,State Govt. Servants,0,0,5,15,14,2,36,0,0,2,2,1,0,5,0,0,0,0,0,0,0,41
Haryana,2014,Other Statutory Body/etc.,0,0,2,3,0,2,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8
Haryana,2014,Private Sector Enterprises,0,0,29,53,23,4,109,0,0,11,14,1,0,26,0,0,0,0,0,0,0,135
Haryana,2014,Public Sector Undertaking,0,0,12,15,12,1,40,0,0,1,2,1,0,4,0,0,0,0,0,0,0,44
Haryana,2014,Students,12,27,72,8,0,2,121,4,27,9,2,0,0,42,0,0,0,0,0,0,0,163
Haryana,2014,Unemployed Persons,4,6,89,83,45,5,232,0,0,3,0,1,0,4,0,0,0,0,0,0,0,236
Haryana,2014,Self-employed Persons (Total),0,0,117,150,83,16,366,0,0,6,1,1,1,9,0,0,0,0,0,0,0,375
Haryana,2014,Business (Total),0,0,60,60,34,6,160,0,0,2,0,0,0,2,0,0,0,0,0,0,0,162
Haryana,2014,Vendor,0,0,5,9,9,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Haryana,2014,Tradesmen,0,0,31,25,13,3,72,0,0,2,0,0,0,2,0,0,0,0,0,0,0,74
Haryana,2014,Others,0,0,24,26,12,3,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Haryana,2014,Agriculture (Total),0,0,39,50,26,4,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
Haryana,2014,Agricultural Labourers,0,0,36,45,21,3,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
Haryana,2014,Farmers (Sub Total),0,0,3,5,5,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Haryana,2014,Have Own Land,0,0,3,4,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Haryana,2014,On Contract/Lease,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Haryana,2014,Others,0,0,18,40,23,6,87,0,0,4,1,1,1,7,0,0,0,0,0,0,0,94
Haryana,2014,Daily Wage Earner,0,4,71,81,40,16,212,0,0,5,4,2,0,11,0,0,0,0,0,0,0,223
Haryana,2014,Retired Persons,0,0,2,2,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Haryana,2014,Others,16,84,440,498,256,85,1379,13,31,118,78,23,9,272,0,0,0,0,0,0,0,1651
Haryana,2014,Total,32,121,842,913,478,136,2522,18,62,322,192,62,25,681,0,0,0,0,0,0,0,3203
Himachal Pradesh,2014,Housewife,0,0,0,0,0,0,0,0,0,42,45,27,7,121,0,0,0,0,0,0,0,121
Himachal Pradesh,2014,Profession/Salaried Persons (Total),0,0,9,17,14,4,44,0,0,2,2,1,0,5,0,0,0,0,0,0,0,49
Himachal Pradesh,2014,Govt. Servants (Total),0,0,4,9,6,1,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21
Himachal Pradesh,2014,Central/UT Govt. Servants,0,0,2,2,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Himachal Pradesh,2014,State Govt. Servants,0,0,2,6,4,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,13
Himachal Pradesh,2014,Other Statutory Body/etc.,0,0,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Himachal Pradesh,2014,Private Sector Enterprises,0,0,5,6,7,3,21,0,0,1,2,1,0,4,0,0,0,0,0,0,0,25
Himachal Pradesh,2014,Public Sector Undertaking,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Himachal Pradesh,2014,Students,6,6,12,0,0,0,24,1,12,9,0,0,0,22,0,0,0,0,0,0,0,46
Himachal Pradesh,2014,Unemployed Persons,0,0,36,36,12,8,92,0,0,10,11,0,1,22,0,0,0,0,0,0,0,114
Himachal Pradesh,2014,Self-employed Persons (Total),0,0,30,38,17,3,88,0,0,0,2,2,0,4,0,0,0,0,0,0,0,92
Himachal Pradesh,2014,Business (Total),0,0,6,11,5,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Himachal Pradesh,2014,Vendor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Tradesmen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,2014,Others,0,0,6,11,5,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
